2023-03-14 19:57:04.260 [main] INFO  org.example.Calculator - [SQUARE ROOT] 4.0
2023-03-14 19:57:04.263 [main] INFO  org.example.Calculator - [RESULT SQUARE ROOT] 2.0
2023-03-29 19:15:56.175 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [SUCCESS] 0 4.0
2023-03-29 19:15:56.176 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [SUCCESS] 0 2.0
2023-03-29 19:15:56.176 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [SUCCESS] 0 2.0
2023-03-29 19:15:56.176 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [SUCCESS] 0 1.4142135623730951
2023-03-29 19:15:56.176 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [FAILED] -1 -1.0
2023-03-29 19:15:56.176 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [Invalid_Input] -1 -1
2023-03-29 19:16:24.721 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [SUCCESS] 0 4.0
2023-03-29 19:16:24.722 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [SUCCESS] 0 2.0
2023-03-29 19:16:24.722 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [SUCCESS] 0 2.0
2023-03-29 19:16:24.722 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [SUCCESS] 0 1.4142135623730951
2023-03-29 19:16:24.722 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [FAILED] -1 -1.0
2023-03-29 19:16:24.722 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [Invalid_Input] -1 -1
2023-03-29 19:16:46.173 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [SUCCESS] 0 4.0
2023-03-29 19:16:46.175 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [SUCCESS] 0 2.0
2023-03-29 19:16:46.175 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [SUCCESS] 0 2.0
2023-03-29 19:16:46.175 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [SUCCESS] 0 1.4142135623730951
2023-03-29 19:16:46.175 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [FAILED] -1 -1.0
2023-03-29 19:16:46.175 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [Invalid_Input] -1 -1
2023-03-29 19:17:05.226 [main] INFO  org.example.Calculator - [FACTORIAL] [SUCCESS] 0 4.0
2023-03-29 19:17:05.227 [main] INFO  org.example.Calculator - [RESULT_FACTORIAL] [SUCCESS] 0 24
2023-03-29 19:17:05.227 [main] INFO  org.example.Calculator - [FACTORIAL] [SUCCESS] 0 2.0
2023-03-29 19:17:05.227 [main] INFO  org.example.Calculator - [RESULT_FACTORIAL] [SUCCESS] 0 2
2023-03-29 19:17:05.227 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [SUCCESS] 0 4.0
2023-03-29 19:17:05.228 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [SUCCESS] 0 2.0
2023-03-29 19:17:05.228 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [SUCCESS] 0 2.0
2023-03-29 19:17:05.228 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [SUCCESS] 0 1.4142135623730951
2023-03-29 19:17:05.228 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [FAILED] -1 -1.0
2023-03-29 19:17:05.228 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [Invalid_Input] -1 -1
2023-03-29 19:17:05.228 [main] INFO  org.example.Calculator - [NATURAL_LOGARITHM] [SUCCESS] 0 5.0
2023-03-29 19:17:05.228 [main] INFO  org.example.Calculator - [RESULT_NATURAL_LOGARITHM] [SUCCESS] 0 1.6094379124341003
2023-03-29 19:17:05.228 [main] INFO  org.example.Calculator - [NATURAL_LOGARITHM] [SUCCESS] 0 2.0
2023-03-29 19:17:05.228 [main] INFO  org.example.Calculator - [RESULT_NATURAL_LOGARITHM] [SUCCESS] 0 0.6931471805599453
2023-03-29 19:17:05.228 [main] INFO  org.example.Calculator - [POWER] [SUCCESS] 5.0 1.0
2023-03-29 19:17:05.229 [main] INFO  org.example.Calculator - [RESULT_POWER] [SUCCESS] 0 5.0
2023-03-29 19:17:05.229 [main] INFO  org.example.Calculator - [POWER] [SUCCESS] 2.0 1.0
2023-03-29 19:17:05.229 [main] INFO  org.example.Calculator - [RESULT_POWER] [SUCCESS] 0 2.0
2023-03-29 19:17:05.229 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [SUCCESS] 0 4.0
2023-03-29 19:17:05.229 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [SUCCESS] 0 2.0
2023-03-29 19:17:05.229 [main] INFO  org.example.Calculator - [SQUARE_ROOT] [SUCCESS] 0 2.0
2023-03-29 19:17:05.229 [main] INFO  org.example.Calculator - [RESULT_SQUARE_ROOT] [SUCCESS] 0 1.4142135623730951
2023-03-29 19:17:05.229 [main] INFO  org.example.Calculator - [NATURAL_LOGARITHM] [SUCCESS] 0 2.71
2023-03-29 19:17:05.230 [main] INFO  org.example.Calculator - [RESULT_NATURAL_LOGARITHM] [SUCCESS] 0 0.9969486348916095
2023-03-29 19:17:05.230 [main] INFO  org.example.Calculator - [NATURAL_LOGARITHM] [SUCCESS] 0 2.0
2023-03-29 19:17:05.230 [main] INFO  org.example.Calculator - [RESULT_NATURAL_LOGARITHM] [SUCCESS] 0 0.6931471805599453
2023-03-29 19:17:05.230 [main] INFO  org.example.Calculator - [FACTORIAL] [SUCCESS] 0 5.0
2023-03-29 19:17:05.230 [main] INFO  org.example.Calculator - [RESULT_FACTORIAL] [SUCCESS] 0 120
2023-03-29 19:17:05.230 [main] INFO  org.example.Calculator - [FACTORIAL] [SUCCESS] 0 2.0
2023-03-29 19:17:05.230 [main] INFO  org.example.Calculator - [RESULT_FACTORIAL] [SUCCESS] 0 2
2023-03-29 19:17:05.230 [main] INFO  org.example.Calculator - [POWER] [SUCCESS] 2.0 3.0
2023-03-29 19:17:05.230 [main] INFO  org.example.Calculator - [RESULT_POWER] [SUCCESS] 0 8.0
2023-03-29 19:17:05.231 [main] INFO  org.example.Calculator - [POWER] [SUCCESS] 4.0 2.0
